Country,Year,Male,Female
Australia,2000,72.3,54.7
Austria,2000,68.9,49
Belgium,2000,61.5,43.6
Canada,2000,72.3,59.4
Chile,2000,73.3,34.9
Czech Republic,2000,69.8,51.6
Denmark,2000,71.1,60.2
Estonia,2000,68.1,52.1
Finland,2000,70.5,63.3
France,2000,63,49.1
Germany,2000,66.6,49
Greece,2000,62.2,38.7
Hungary,2000,61.1,45.5
Iceland,2000,81.3,71.3
Ireland,2000,71.5,47.8
Israel,2000,60.8,48.2
Italy,2000,62.2,35.8
Japan,2000,76.4,49.3
Korea,2000,74.4,48.8
Luxembourg,2000,66.1,41.4
Mexico,2000,81.8,38.9
Netherlands,2000,90.3,81.7
New Zealand,2000,73.6,57.4
Norway,2000,78,68.9
Poland,2000,64.1,49.7
Portugal,2000,69.8,52.9
Slovak Republic,2000,68.2,52.6
Slovenia,2000,64,51.2
Spain,2000,67.1,41.3
Sweden,2000,74.4,67.5
Switzerland,2000,77.8,57.6
Turkey,2000,73.7,26.6
United Kingdom,2000,71.1,54.9
United States,2000,74.8,59.9
OECD - Average,2000,70.7,51.6
Australia,2001,71.9,55.1
Austria,2001,68.4,49.5
Belgium,2001,60.5,41.9
Canada,2001,72.3,59.7
Chile,2001,72.5,34
Czech Republic,2001,69.4,51.3
Denmark,2001,70.9,59.7
Estonia,2001,67.3,52.2
Finland,2001,70.7,63.6
France,2001,62.7,48.9
Germany,2001,66.3,49.3
Greece,2001,60.9,37.6
Hungary,2001,60.9,45.4
Iceland,2001,81.5,71.1
Ireland,2001,71.7,48.1
Israel,2001,60.7,48.4
Italy,2001,62,36.4
Japan,2001,75.7,49.2
Korea,2001,74.3,49.3
Luxembourg,2001,65.7,42.4
Mexico,2001,81.1,38
Netherlands,2001,90.1,81.5
New Zealand,2001,73.8,58.3
Norway,2001,77.7,69.2
Poland,2001,63.8,49.5
Portugal,2001,70.2,53.6
Slovak Republic,2001,68.9,53
Slovenia,2001,64.6,50.9
