Country,Year,Male,Female
Australia,2000,0.723,0.547
Austria,2000,0.689,0.49
Belgium,2000,0.615,0.436
Canada,2000,0.723,0.594
Chile,2000,0.733,0.349
Czech Republic,2000,0.698,0.516
Denmark,2000,0.711,0.602
Estonia,2000,0.681,0.521
Finland,2000,0.705,0.633
France,2000,0.63,0.491
Germany,2000,0.666,0.49
Greece,2000,0.622,0.387
Hungary,2000,0.611,0.455
Iceland,2000,0.813,0.713
Ireland,2000,0.715,0.478
Israel,2000,0.608,0.482
Italy,2000,0.622,0.358
Japan,2000,0.764,0.493
Korea,2000,0.744,0.488
Luxembourg,2000,0.661,0.414
Mexico,2000,0.818,0.389
Netherlands,2000,0.903,0.817
New Zealand,2000,0.736,0.574
Norway,2000,0.78,0.689
Poland,2000,0.641,0.497
Portugal,2000,0.698,0.529
Slovak Republic,2000,0.682,0.526
Slovenia,2000,0.64,0.512
Spain,2000,0.671,0.413
Sweden,2000,0.744,0.675
Switzerland,2000,0.778,0.576
Turkey,2000,0.737,0.266
United Kingdom,2000,0.711,0.549
United States,2000,0.748,0.599
OECD - Average,2000,0.707,0.516
Australia,2001,0.719,0.551
Austria,2001,0.684,0.495
Belgium,2001,0.605,0.419
Canada,2001,0.723,0.597
Chile,2001,0.725,0.34
Czech Republic,2001,0.694,0.513
Denmark,2001,0.709,0.597
Estonia,2001,0.673,0.522
Finland,2001,0.707,0.636
France,2001,0.627,0.489
Germany,2001,0.663,0.493
Greece,2001,0.609,0.376
Hungary,2001,0.609,0.454
Iceland,2001,0.815,0.711
Ireland,2001,0.717,0.481
Israel,2001,0.607,0.484
Italy,2001,0.62,0.364
Japan,2001,0.757,0.492
Korea,2001,0.743,0.493
Luxembourg,2001,0.657,0.424
Mexico,2001,0.811,0.38
Netherlands,2001,0.901,0.815
New Zealand,2001,0.738,0.583
Norway,2001,0.777,0.692
Poland,2001,0.638,0.495
Portugal,2001,0.702,0.536
Slovak Republic,2001,0.689,0.53
Slovenia,2001,0.646,0.509
Spain,2001,0.665,0.403
Sweden,2001,0.742,0.682
Switzerland,2001,0.774,0.589
Turkey,2001,0.729,0.271
United Kingdom,2001,0.704,0.549
United States,2001,0.744,0.598
OECD - Average,2001,0.704,0.517
Australia,2002,0.718,0.552
Austria,2002,0.685,0.505
Belgium,2002,0.608,0.432
Canada,2002,0.73,0.609
Chile,2002,0.718,0.338
Czech Republic,2002,0.694,0.51
Denmark,2002,0.711,0.601
Estonia,2002,0.662,0.515
Finland,2002,0.702,0.64
France,2002,0.629,0.491
Germany,2002,0.655,0.494
Greece,2002,0.644,0.402
Hungary,2002,0.608,0.458
Iceland,2002,0.804,0.705
Ireland,2002,0.71,0.49
Israel,2002,0.602,0.484
Italy,2002,0.62,0.368
Japan,2002,0.747,0.485
Korea,2002,0.75,0.498
Luxembourg,2002,0.665,0.435
Mexico,2002,0.807,0.387
Netherlands,2002,0.898,0.812
New Zealand,2002,0.746,0.59
Norway,2002,0.774,0.696
Poland,2002,0.629,0.486
Portugal,2002,0.705,0.542
Slovak Republic,2002,0.683,0.526
Slovenia,2002,0.643,0.51
Spain,2002,0.669,0.418
Sweden,2002,0.741,0.682
Switzerland,2002,0.767,0.593
Turkey,2002,0.716,0.279
United Kingdom,2002,0.703,0.554
United States,2002,0.741,0.596
OECD - Average,2002,0.703,0.52
Australia,2003,0.715,0.559
Austria,2003,0.685,0.511
Belgium,2003,0.605,0.436
Canada,2003,0.734,0.619
Chile,2003,0.715,0.351
Czech Republic,2003,0.687,0.508
Denmark,2003,0.714,0.598
Estonia,2003,0.666,0.521
Finland,2003,0.701,0.634
France,2003,0.631,0.505
Germany,2003,0.648,0.495
Greece,2003,0.648,0.409
Hungary,2003,0.614,0.469
Iceland,2003,0.806,0.717
Ireland,2003,0.708,0.493
Israel,2003,0.601,0.491
Italy,2003,0.623,0.371
Japan,2003,0.741,0.484
Korea,2003,0.747,0.49
Luxembourg,2003,0.651,0.437
Mexico,2003,0.799,0.381
Netherlands,2003,0.896,0.809
New Zealand,2003,0.738,0.594
Norway,2003,0.766,0.69
Poland,2003,0.622,0.48
Portugal,2003,0.7,0.547
Slovak Republic,2003,0.683,0.529
Slovenia,2003,0.635,0.501
Spain,2003,0.674,0.433
Sweden,2003,0.74,0.681
Switzerland,2003,0.768,0.595
Turkey,2003,0.704,0.266
United Kingdom,2003,0.706,0.553
United States,2003,0.735,0.595
OECD - Average,2003,0.7,0.522
Australia,2004,0.715,0.557
Austria,2004,0.67,0.508
Belgium,2004,0.611,0.445
Canada,2004,0.732,0.619
Chile,2004,0.707,0.363
Czech Republic,2004,0.684,0.505
Denmark,2004,0.716,0.607
Estonia,2004,0.659,0.522
Finland,2004,0.696,0.633
France,2004,0.629,0.507
Germany,2004,0.648,0.498
Greece,2004,0.648,0.421
Hungary,2004,0.612,0.47
Iceland,2004,0.797,0.698
Ireland,2004,0.715,0.498
Israel,2004,0.606,0.496
Italy,2004,0.613,0.383
Japan,2004,0.734,0.482
Korea,2004,0.75,0.499
Luxembourg,2004,0.649,0.454
Mexico,2004,0.806,0.404
Netherlands,2004,0.893,0.807
New Zealand,2004,0.745,0.599
Norway,2004,0.764,0.688
Poland,2004,0.623,0.478
Portugal,2004,0.697,0.548
Slovak Republic,2004,0.683,0.525
Slovenia,2004,0.66,0.525
Spain,2004,0.681,0.452
Sweden,2004,0.735,0.679
Switzerland,2004,0.76,0.591
Turkey,2004,0.703,0.233
United Kingdom,2004,0.701,0.557
United States,2004,0.733,0.592
OECD - Average,2004,0.699,0.525
Australia,2005,0.721,0.57
Austria,2005,0.675,0.518
Belgium,2005,0.614,0.457
Canada,2005,0.728,0.616
Chile,2005,0.704,0.372
Czech Republic,2005,0.687,0.506
Denmark,2005,0.711,0.604
Estonia,2005,0.647,0.528
Finland,2005,0.695,0.642
France,2005,0.626,0.507
