Country,Year,Male,Female
Australia,2000,0.569291339,0.430708661
Austria,2000,0.584393554,0.415606446
Belgium,2000,0.585156993,0.414843007
Canada,2000,0.548974943,0.451025057
Chile,2000,0.677449168,0.322550832
Czech Republic,2000,0.574958814,0.425041186
Denmark,2000,0.541507997,0.458492003
Estonia,2000,0.56655574,0.43344426
Finland,2000,0.52690583,0.47309417
France,2000,0.561998216,0.438001784
Germany,2000,0.576124567,0.423875433
Greece,2000,0.616451933,0.383548067
Hungary,2000,0.573170732,0.426829268
Iceland,2000,0.5327654,0.4672346
Ireland,2000,0.599329422,0.400670578
Israel,2000,0.557798165,0.442201835
Italy,2000,0.634693878,0.365306122
Japan,2000,0.60779634,0.39220366
Korea,2000,0.603896104,0.396103896
Luxembourg,2000,0.614883721,0.385116279
Mexico,2000,0.677713339,0.322286661
Netherlands,2000,0.525,0.475
New Zealand,2000,0.561832061,0.438167939
Norway,2000,0.530973451,0.469026549
Poland,2000,0.563268893,0.436731107
Portugal,2000,0.568867156,0.431132844
Slovak Republic,2000,0.564569536,0.435430464
Slovenia,2000,0.555555556,0.444444444
Spain,2000,0.61900369,0.38099631
Sweden,2000,0.524312896,0.475687104
Switzerland,2000,0.574593796,0.425406204
Turkey,2000,0.734795613,0.265204387
United Kingdom,2000,0.564285714,0.435714286
United States,2000,0.555308092,0.444691908
OECD - Average,2000,0.578086672,0.421913328
Australia,2001,0.566141732,0.433858268
Austria,2001,0.580152672,0.419847328
Belgium,2001,0.590820313,0.409179688
Canada,2001,0.547727273,0.452272727
Chile,2001,0.680751174,0.319248826
Czech Republic,2001,0.574979287,0.425020713
Denmark,2001,0.54287902,0.45712098
Estonia,2001,0.563179916,0.436820084
Finland,2001,0.526433358,0.473566642
France,2001,0.561827957,0.438172043
Germany,2001,0.573529412,0.426470588
Greece,2001,0.618274112,0.381725888
Hungary,2001,0.572906867,0.427093133
Iceland,2001,0.534076016,0.465923984
Ireland,2001,0.598497496,0.401502504
Israel,2001,0.556370302,0.443629698
Italy,2001,0.630081301,0.369918699
Japan,2001,0.606084868,0.393915132
Korea,2001,0.601132686,0.398867314
Luxembourg,2001,0.607770583,0.392229417
Mexico,2001,0.680940386,0.319059614
Netherlands,2001,0.525058275,0.474941725
New Zealand,2001,0.558667676,0.441332324
Norway,2001,0.528931246,0.471068754
Poland,2001,0.563106796,0.436893204
Portugal,2001,0.567043619,0.432956381
Slovak Republic,2001,0.565217391,0.434782609
Slovenia,2001,0.559307359,0.440692641
Spain,2001,0.622659176,0.377340824
Sweden,2001,0.521067416,0.478932584
Switzerland,2001,0.567865004,0.432134996
Turkey,2001,0.729,0.271
United Kingdom,2001,0.561851556,0.438148444
United States,2001,0.554396423,0.445603577
OECD - Average,2001,0.576576577,0.423423423
Australia,2002,0.565354331,0.434645669
Austria,2002,0.575630252,0.424369748
Belgium,2002,0.584615385,0.415384615
Canada,2002,0.545182972,0.454817028
Chile,2002,0.679924242,0.320075758
Czech Republic,2002,0.57641196,0.42358804
Denmark,2002,0.541920732,0.458079268
Estonia,2002,0.562446899,0.437553101
Finland,2002,0.523099851,0.476900149
France,2002,0.561607143,0.438392857
Germany,2002,0.570060923,0.429939077
Greece,2002,0.615678776,0.384321224
Hungary,2002,0.570356473,0.429643527
Iceland,2002,0.532803181,0.467196819
Ireland,2002,0.591666667,0.408333333
Israel,2002,0.554327808,0.445672192
Italy,2002,0.627530364,0.372469636
Japan,2002,0.606331169,0.393668831
Korea,2002,0.600961538,0.399038462
Luxembourg,2002,0.604545455,0.395454545
Mexico,2002,0.675879397,0.324120603
Netherlands,2002,0.525146199,0.474853801
New Zealand,2002,0.558383234,0.441616766
Norway,2002,0.526530612,0.473469388
Poland,2002,0.564125561,0.435874439
Portugal,2002,0.565356856,0.434643144
Slovak Republic,2002,0.564929694,0.435070306
Slovenia,2002,0.557675629,0.442324371
Spain,2002,0.615455382,0.384544618
Sweden,2002,0.52073085,0.47926915
Switzerland,2002,0.563970588,0.436029412
Turkey,2002,0.71959799,0.28040201
United Kingdom,2002,0.559268099,0.440731901
United States,2002,0.554225879,0.445774121
OECD - Average,2002,0.574816026,0.425183974
Australia,2003,0.56122449,0.43877551
Austria,2003,0.572742475,0.427257525
Belgium,2003,0.58117195,0.41882805
Canada,2003,0.542498152,0.457501848
Chile,2003,0.670731707,0.329268293
Czech Republic,2003,0.574895397,0.425104603
Denmark,2003,0.544207317,0.455792683
Estonia,2003,0.561078349,0.438921651
Finland,2003,0.525093633,0.474906367
France,2003,0.555457746,0.444542254
Germany,2003,0.566929134,0.433070866
Greece,2003,0.613055818,0.386944182
Hungary,2003,0.566943675,0.433056325
Iceland,2003,0.529218647,0.470781353
Ireland,2003,0.589508743,0.410491257
Israel,2003,0.5503663,0.4496337
Italy,2003,0.626760563,0.373239437
Japan,2003,0.604897959,0.395102041
Korea,2003,0.603880356,0.396119644
Luxembourg,2003,0.598345588,0.401654412
Mexico,2003,0.677118644,0.322881356
Netherlands,2003,0.525513196,0.474486804
New Zealand,2003,0.554054054,0.445945946
Norway,2003,0.526098901,0.473901099
Poland,2003,0.564428312,0.435571688
Portugal,2003,0.561347233,0.438652767
Slovak Republic,2003,0.563531353,0.436468647
Slovenia,2003,0.558978873,0.441021127
Spain,2003,0.608852755,0.391147245
Sweden,2003,0.520760028,0.479239972
Switzerland,2003,0.563462949,0.436537051
Turkey,2003,0.725773196,0.274226804
United Kingdom,2003,0.56076251,0.43923749
United States,2003,0.552631579,0.447368421
OECD - Average,2003,0.572831424,0.427168576
Australia,2004,0.562106918,0.437893082
Austria,2004,0.568760611,0.431239389
Belgium,2004,0.578598485,0.421401515
Canada,2004,0.541820873,0.458179127
Chile,2004,0.660747664,0.339252336
Czech Republic,2004,0.575273339,0.424726661
Denmark,2004,0.541194255,0.458805745
Estonia,2004,0.558001693,0.441998307
Finland,2004,0.523702032,0.476297968
France,2004,0.553697183,0.446302817
Germany,2004,0.565445026,0.434554974
Greece,2004,0.606173994,0.393826006
Hungary,2004,0.565619224,0.434380776
Iceland,2004,0.533110368,0.466889632
Ireland,2004,0.58944765,0.41055235
Israel,2004,0.549909256,0.450090744
Italy,2004,0.615461847,0.384538153
Japan,2004,0.603618421,0.396381579
Korea,2004,0.600480384,0.399519616
Luxembourg,2004,0.588395286,0.411604714
Mexico,2004,0.666115702,0.333884298
Netherlands,2004,0.525294118,0.474705882
New Zealand,2004,0.554315476,0.445684524
Norway,2004,0.526170799,0.473829201
Poland,2004,0.565849228,0.434150772
Portugal,2004,0.559839357,0.440160643
Slovak Republic,2004,0.565397351,0.434602649
Slovenia,2004,0.556962025,0.443037975
Spain,2004,0.601059135,0.398940865
Sweden,2004,0.51980198,0.48019802
Switzerland,2004,0.562546262,0.437453738
Turkey,2004,0.751068376,0.248931624
United Kingdom,2004,0.557233704,0.442766296
United States,2004,0.553207547,0.446792453
OECD - Average,2004,0.571078431,0.428921569
Australia,2005,0.558481797,0.441518203
Austria,2005,0.565800503,0.434199497
Belgium,2005,0.573295985,0.426704015
Canada,2005,0.541666667,0.458333333
Chile,2005,0.654275093,0.345724907
Czech Republic,2005,0.575859179,0.424140821
Denmark,2005,0.540684411,0.459315589
Estonia,2005,0.550638298,0.449361702
Finland,2005,0.519820494,0.480179506
France,2005,0.552515446,0.447484554
Germany,2005,0.564735945,0.435264055
Greece,2005,0.605607477,0.394392523
Hungary,2005,0.56347032,0.43652968
Iceland,2005,0.531353135,0.468646865
Ireland,2005,0.582461786,0.417538214
Israel,2005,0.548328817,0.451671183
Italy,2005,0.616784631,0.383215369
Japan,2005,0.60230074,0.39769926
Korea,2005,0.598235766,0.401764234
Luxembourg,2005,0.583856502,0.416143498
Mexico,2005,0.662790698,0.337209302
Netherlands,2005,0.525073746,0.474926254
New Zealand,2005,0.55187638,0.44812362
Norway,2005,0.525879917,0.474120083
Poland,2005,0.568325792,0.431674208
Portugal,2005,0.5552,0.4448
Slovak Republic,2005,0.571070234,0.428929766
Slovenia,2005,0.555555556,0.444444444
Spain,2005,0.597222222,0.402777778
Sweden,2005,0.522222222,0.477777778
Switzerland,2005,0.558779762,0.441220238
Turkey,2005,0.751863685,0.248136315
United Kingdom,2005,0.556701031,0.443298969
United States,2005,0.552790347,0.447209653
OECD - Average,2005,0.569568755,0.430431245
Australia,2006,0.556581986,0.443418014
Austria,2006,0.563275434,0.436724566
Belgium,2006,0.570759138,0.429240862
Canada,2006,0.539149888,0.460850112
Chile,2006,0.650865998,0.349134002
Czech Republic,2006,0.575986566,0.424013434
Denmark,2006,0.538636364,0.461363636
Estonia,2006,0.55090312,0.44909688
Finland,2006,0.520771513,0.479228487
France,2006,0.551236749,0.448763251
Germany,2006,0.560810811,0.439189189
Greece,2006,0.603914259,0.396085741
Hungary,2006,0.564195298,0.435804702
Iceland,2006,0.534808068,0.465191932
Ireland,2006,0.580237154,0.419762846
Israel,2006,0.547982063,0.452017937
Italy,2006,0.615539859,0.384460141
Japan,2006,0.601479047,0.398520953
Korea,2006,0.595659164,0.404340836
Luxembourg,2006,0.550091075,0.449908925
Mexico,2006,0.659313725,0.340686275
Netherlands,2006,0.525162818,0.474837182
New Zealand,2006,0.551824818,0.448175182
Norway,2006,0.525,0.475
Poland,2006,0.571297148,0.428702852
Portugal,2006,0.555378486,0.444621514
Slovak Republic,2006,0.573232323,0.426767677
Slovenia,2006,0.552565181,0.447434819
Spain,2006,0.590093937,0.409906063
Sweden,2006,0.521165857,0.478834143
Switzerland,2006,0.557692308,0.442307692
Turkey,2006,0.747593583,0.252406417
United Kingdom,2006,0.555031447,0.444968553
United States,2006,0.553047404,0.446952596
OECD - Average,2006,0.567611336,0.432388664
Australia,2007,0.555045872,0.444954128
Austria,2007,0.563621533,0.436378467
Belgium,2007,0.567843866,0.432156134
Canada,2007,0.537037037,0.462962963
Chile,2007,0.646153846,0.353846154
Czech Republic,2007,0.578323455,0.421676545
Denmark,2007,0.538753799,0.461246201
Estonia,2007,0.557377049,0.442622951
Finland,2007,0.519202363,0.480797637
France,2007,0.548984996,0.451015004
Germany,2007,0.558922559,0.441077441
Greece,2007,0.603914259,0.396085741
Hungary,2007,0.56561086,0.43438914
Iceland,2007,0.533810143,0.466189857
Ireland,2007,0.574102964,0.425897036
Israel,2007,0.547387068,0.452612932
Italy,2007,0.614994934,0.385005066
Japan,2007,0.601646091,0.398353909
Korea,2007,0.595813205,0.404186795
Luxembourg,2007,0.548791406,0.451208594
Mexico,2007,0.654159869,0.345840131
Netherlands,2007,0.524658348,0.475341652
New Zealand,2007,0.550218341,0.449781659
Norway,2007,0.52233677,0.47766323
Poland,2007,0.572088725,0.427911275
Portugal,2007,0.552464229,0.447535771
Slovak Republic,2007,0.572758037,0.427241963
Slovenia,2007,0.554628857,0.445371143
Spain,2007,0.586294416,0.413705584
Sweden,2007,0.520387008,0.479612992
Switzerland,2007,0.558585114,0.441414886
Turkey,2007,0.74732334,0.25267666
United Kingdom,2007,0.556432518,0.443567482
United States,2007,0.55245283,0.44754717
OECD - Average,2007,0.566585956,0.433414044
Australia,2008,0.553693831,0.446306169
Austria,2008,0.559446254,0.440553746
Belgium,2008,0.564531105,0.435468895
Canada,2008,0.537269373,0.462730627
Chile,2008,0.637089618,0.362910382
Czech Republic,2008,0.580425532,0.419574468
Denmark,2008,0.538577912,0.461422088
Estonia,2008,0.555915721,0.444084279
Finland,2008,0.521292217,0.478707783
France,2008,0.548017621,0.451982379
Germany,2008,0.558452481,0.441547519
Greece,2008,0.60372093,0.39627907
Hungary,2008,0.564663024,0.435336976
Iceland,2008,0.535386632,0.464613368
Ireland,2008,0.573667712,0.426332288
Israel,2008,0.547219771,0.452780229
Italy,2008,0.610271903,0.389728097
Japan,2008,0.600660066,0.399339934
Korea,2008,0.5951417,0.4048583
Luxembourg,2008,0.571301248,0.428698752
Mexico,2008,0.650974026,0.349025974
Netherlands,2008,0.524150268,0.475849732
New Zealand,2008,0.547705754,0.452294246
Norway,2008,0.52165088,0.47834912
Poland,2008,0.573650503,0.426349497
Portugal,2008,0.552547771,0.447452229
Slovak Republic,2008,0.572026801,0.427973199
Slovenia,2008,0.55071249,0.44928751
Spain,2008,0.579166667,0.420833333
Sweden,2008,0.521438451,0.478561549
Switzerland,2008,0.551900585,0.448099415
Turkey,2008,0.741014799,0.258985201
United Kingdom,2008,0.55581761,0.44418239
United States,2008,0.550943396,0.449056604
OECD - Average,2008,0.566022544,0.433977456
Australia,2009,0.551487414,0.448512586
Austria,2009,0.554471545,0.445528455
Belgium,2009,0.562383613,0.437616387
Canada,2009,0.534970238,0.465029762
Chile,2009,0.632235085,0.367764915
Czech Republic,2009,0.579796265,0.420203735
Denmark,2009,0.536697248,0.463302752
Estonia,2009,0.552117264,0.447882736
Finland,2009,0.517524236,0.482475764
France,2009,0.546491228,0.453508772
Germany,2009,0.556208054,0.443791946
Greece,2009,0.597775718,0.402224282
Hungary,2009,0.56284153,0.43715847
Iceland,2009,0.523485785,0.476514215
Ireland,2009,0.569034318,0.430965682
Israel,2009,0.54122807,0.45877193
Italy,2009,0.609979633,0.390020367
Japan,2009,0.597014925,0.402985075
Korea,2009,0.597710548,0.402289452
Luxembourg,2009,0.57167382,0.42832618
Mexico,2009,0.650662252,0.349337748
Netherlands,2009,0.52326969,0.47673031
New Zealand,2009,0.545321637,0.454678363
Norway,2009,0.519944979,0.480055021
Poland,2009,0.572719061,0.427280939
Portugal,2009,0.549477072,0.450522928
Slovak Republic,2009,0.575168919,0.424831081
Slovenia,2009,0.551174497,0.448825503
Spain,2009,0.570715474,0.429284526
Sweden,2009,0.520907158,0.479092842
Switzerland,2009,0.549707602,0.450292398
Turkey,2009,0.730848861,0.269151139
United Kingdom,2009,0.55406472,0.44593528
United States,2009,0.548780488,0.451219512
OECD - Average,2009,0.563255439,0.436744561
Australia,2010,0.552591463,0.447408537
Austria,2010,0.554285714,0.445714286
Belgium,2010,0.560368664,0.439631336
Canada,2010,0.534675615,0.465324385
Chile,2010,0.614139693,0.385860307
Czech Republic,2010,0.579710145,0.420289855
Denmark,2010,0.536074476,0.463925524
Estonia,2010,0.547833197,0.452166803
Finland,2010,0.521412472,0.478587528
France,2010,0.545215101,0.454784899
Germany,2010,0.554438861,0.445561139
Greece,2010,0.592797784,0.407202216
Hungary,2010,0.557951482,0.442048518
Iceland,2010,0.520987654,0.479012346
Ireland,2010,0.564686737,0.435313263
Israel,2010,0.541340296,0.458659704
Italy,2010,0.608606557,0.391393443
Japan,2010,0.589785832,0.410214168
Korea,2010,0.595918367,0.404081633
Luxembourg,2010,0.569204152,0.430795848
Mexico,2010,0.647634584,0.352365416
Netherlands,2010,0.522985075,0.477014925
New Zealand,2010,0.545054945,0.454945055
Norway,2010,0.521920668,0.478079332
Poland,2010,0.57079252,0.42920748
Portugal,2010,0.546698873,0.453301127
Slovak Republic,2010,0.569409809,0.430590191
Slovenia,2010,0.552653749,0.447346251
Spain,2010,0.565614618,0.434385382
Sweden,2010,0.523371105,0.476628895
Switzerland,2010,0.552941176,0.447058824
Turkey,2010,0.719512195,0.280487805
United Kingdom,2010,0.551505547,0.448494453
United States,2010,0.54853621,0.45146379
OECD - Average,2010,0.561191626,0.438808374
Australia,2011,0.550647372,0.449352628
Austria,2011,0.553745928,0.446254072
Belgium,2011,0.559512652,0.440487348
Canada,2011,0.534379671,0.465620329
Chile,2011,0.605328893,0.394671107
Czech Republic,2011,0.577284372,0.422715628
Denmark,2011,0.534375,0.465625
Estonia,2011,0.548672566,0.451327434
Finland,2011,0.52288072,0.47711928
France,2011,0.544493392,0.455506608
Germany,2011,0.551781276,0.448218724
Greece,2011,0.588951311,0.411048689
Hungary,2011,0.559322034,0.440677966
Iceland,2011,0.520846297,0.479153703
Ireland,2011,0.562037798,0.437962202
Israel,2011,0.542210618,0.457789382
Italy,2011,0.605532787,0.394467213
Japan,2011,0.595477387,0.404522613
Korea,2011,0.595276873,0.404723127
Luxembourg,2011,0.563746748,0.436253252
Mexico,2011,0.647398844,0.352601156
Netherlands,2011,0.522414824,0.477585176
New Zealand,2011,0.544128373,0.455871627
Norway,2011,0.518907563,0.481092437
Poland,2011,0.571302037,0.428697963
Portugal,2011,0.551948052,0.448051948
Slovak Republic,2011,0.575400168,0.424599832
Slovenia,2011,0.550687285,0.449312715
Spain,2011,0.560266002,0.439733998
Sweden,2011,0.520789288,0.479210712
Switzerland,2011,0.553925165,0.446074835
Turkey,2011,0.713432836,0.286567164
United Kingdom,2011,0.551424051,0.448575949
United States,2011,0.548211509,0.451788491
OECD - Average,2011,0.560483871,0.439516129
Australia,2012,0.550114767,0.449885233
Austria,2012,0.553556827,0.446443173
Belgium,2012,0.558795861,0.441204139
Canada,2012,0.536144578,0.463855422
Chile,2012,0.603559871,0.396440129
Czech Republic,2012,0.575063613,0.424936387
Denmark,2012,0.533175355,0.466824645
Estonia,2012,0.550922213,0.449077787
Finland,2012,0.534497091,0.465502909
France,2012,0.548358474,0.451641526
